question,reference
Hợp đồng VN30F2506 đóng cửa tại bao nhiêu điểm vào ngày 12/6?,"Hợp đồng tháng VN30F2506 đóng cửa tại 1.409,2 điểm, tăng +7,4 điểm so với phiên trước."
Chỉ số VN-Index đã tăng bao nhiêu điểm và đóng cửa ở mức nào vào ngày 12/6/2025?,"Kết thúc phiên giao dịch, VN-Index tăng 7,79 điểm, lên mức 1.322,99 điểm."
Giá trị trái phiếu doanh nghiệp sẽ đáo hạn trong năm 2025 là bao nhiêu?,Khoảng 149.439 tỷ đồng trái phiếu doanh nghiệp sẽ đáo hạn trong năm 2025.
Nguyên nhân lợi nhuận sau thuế của Công ty Cáp treo Fansipan Sa Pa giảm trong năm 2024 là gì?,"Nguyên nhân do công ty đã mở rộng phạm vi kinh doanh, tập trung vào các khoản đầu tư trung và dài dạn, làm cho tài sản dài hạn và hàng tồn kho tăng lên đáng kể."
Người trẻ kỳ vọng gì ở ngân hàng số hiện nay?,"Ngân hàng trong mắt người trẻ không còn là nơi để ""gửi tiền cho an toàn"" mà phải là một trải nghiệm số hóa - tiện lợi, cá nhân hóa, hợp gu, thậm chí còn mang tính giải trí."
Cổ phiếu nào là tâm điểm bán ròng mạnh nhất của khối ngoại và cổ phiếu nào được mua ròng tích cực tại thị trường Việt Nam trong tuần qua?,"Đáng chú ý, cổ phiếu VHM tiếp tục là tâm điểm bán ròng mạnh nhất, với lượng bán ròng gần 1.800 tỷ đồng cho thấy sự thoái lui có chủ đích khỏi nhóm cổ phiếu vốn hóa lớn. Ở chiều ngược lại, khối ngoại thể hiện sự quan tâm tích cực với cổ phiếu APG, khi mua ròng tới 413 tỷ đồng – một điểm sáng hiếm hoi trong bức tranh dòng vốn ngoại tuần qua."
Hợp đồng VN30F2506 đóng cửa ở mức giá nào và thay đổi bao nhiêu điểm vào ngày 11/6?,"Hợp đồng tháng VN30F2506 đóng cửa tại 1.401,8 điểm, tăng +4,9 điểm so với phiên trước."
Cổ phiếu nào giao dịch mạnh và sôi động nhất rổ VN30 phiên chiều ngày 11/6/2025?,Cổ phiếu giao dịch mạnh và sôi động nhất rổ VN30 phiên chiều là SHB.
Những nhóm cổ phiếu trụ nào đang dẫn dắt xu hướng và hỗ trợ VN-Index?,"Các nhóm cổ phiếu trụ như ngân hàng, bất động sản, chứng khoán dẫn dắt xu hướng, tạo lực đỡ cho VN-Index."
"Trái phiếu do CBI xác nhận có chênh lệch ""greenium"" như thế nào so với trái phiếu thông thường?",Trái phiếu do CBI xác nhận thường có chênh lệch cao hơn khoảng 8 bps so với trái phiếu thông thường.
Chỉ số VN-Index cuối tháng 5 đạt mức nào và tăng trưởng ra sao so với tháng trước?,"Kết thúc tháng 5, chỉ số VN-Index đạt mức 1.332,6 điểm, tăng gần 9% so với tháng trước và vượt đỉnh 3 năm."
"Tính đến tuần đầu tháng 6, Kho bạc Nhà nước đã nâng tổng giá trị huy động trái phiếu chính phủ từ đầu năm lên bao nhiêu và đạt tỷ lệ nào so với kế hoạch năm?","Kho bạc Nhà nước tiếp tục duy trì nhịp phát hành ổn định trong tuần đầu tháng 6, nâng tổng giá trị huy động từ đầu năm lên hơn 173.000 tỷ đồng, đạt 35% kế hoạch năm."
Tổng giá trị phát hành trái phiếu doanh nghiệp tính từ đầu năm 2025 đến nay là bao nhiêu?,"Tính từ đầu năm 2025 đến nay, tổng giá trị phát hành trái phiếu doanh nghiệp đã lên tới 142.527 tỷ đồng."
Hợp đồng VN30F2506 đóng cửa tại điểm nào và thay đổi ra sao vào ngày 10/6/2025?,"Hợp đồng tháng hiện tại VN30F2506 đóng cửa tại 1.396,9 điểm, giảm -0,1 điểm so với phiên kế trước."
Giá trị mua ròng của khối ngoại trong phiên giao dịch ngày 10/6 là bao nhiêu?,"Trước bối cảnh đó, giao dịch khối ngoại là điểm cộng khi trở lại mua ròng 264 tỷ đồng phiên hôm nay."
Động lực chính của hoạt động mua lại trái phiếu trong tháng 5 đến từ nhóm ngành nào?,"Trong đó, động lực chính đến từ nhóm bất động sản với tỷ trọng 53,2%, tiếp theo là nhóm tổ chức tín dụng chiếm 45,6%."
Tổng doanh thu của VinFast trong quý 1/2025 và mức tăng trưởng so với quý 1/2024 là bao nhiêu?,"Tổng doanh thu của công ty đạt 16.306,4 tỷ đồng (656,5 triệu USD) trong quý đầu tiên của năm 2025, tăng 149,9% so với quý 1/2024."
"Theo chuyên gia, dòng tiền thông minh có xu hướng tìm đến các nhóm cổ phiếu nào trong giai đoạn tới?","Theo chuyên gia, trong giai đoạn tới dòng tiền thông minh có xu hướng tìm đến các nhóm cổ phiếu phòng thủ, doanh nghiệp có triển vọng lợi nhuận quý II tích cực hoặc ít chịu ảnh hưởng từ yếu tố thuế quan."
"Theo Quyết định số 271/QĐ-XPHC, lý do Công ty cổ phần chứng khoán Thiên Việt bị phạt 125 triệu đồng là gì?",Do có hành vi vi phạm quy định về nhận lệnh và thực hiện lệnh giao dịch của khách hàng.
Tỉnh Quảng Ninh đã điều chỉnh giảm vốn đầu tư công trung hạn giai đoạn 2021-2025 với số tiền cụ thể là bao nhiêu theo nghị quyết tại Kỳ họp thứ 27?,Hơn 1.157 tỷ đồng.
"Tính đến cuối năm 2024, tổng thu ngân sách nhà nước đạt được là bao nhiêu và đạt tỷ lệ nào so với mục tiêu giai đoạn 2021-2025?","Tính đến cuối năm 2024, tổng thu ngân sách nhà nước đạt khoảng 7,225 triệu tỷ đồng, đạt 87,1% so mục tiêu giai đoạn 2021-2025."
Các chính sách đề xuất cho trung tâm tài chính quốc tế Việt Nam được đánh giá đột phá trong những lĩnh vực nào?,"Các chính sách đề xuất được đánh giá là đột phá, đặc biệt trong lĩnh vực thuế, đất đai, hạ tầng, nhân lực, bảo hiểm."
"Tổng số tiền miễn, giảm, gia hạn thuế, tiền thuê đất trong 5 tháng đầu năm 2025 là bao nhiêu?","5 tháng đầu năm 2025, miễn, giảm, gia hạn thuế, tiền thuê đất khoảng 88.000 tỷ đồng."
Ông Arnaud Ginolin đã trình bày báo cáo nào tại sự kiện ngày 12/6?,“Vietnam AI Economy 2025”.
Tại sao giá trị hoàn lại thường thấp hơn số phí khách hàng đã đóng trong những năm đầu của hợp đồng bảo hiểm?,"Trong những năm đầu của hợp đồng bảo hiểm, giá trị hoàn lại thường thấp hơn số phí khách hàng đã đóng vì phần lớn khoản phí này được dùng để chi trả cho các chi phí ban đầu như thẩm định hồ sơ, phát hành hợp đồng... và chi phí quản lý. Bên cạnh đó, hợp đồng còn trừ định kỳ các chi phí bảo hiểm rủi ro để duy trì quyền lợi bảo vệ cho khách hàng. Do đó, phần còn lại để tích lũy vào giá trị tài khoản chưa nhiều và cũng chưa có đủ thời gian để sinh lãi."
Tổng Bí thư Tô Lâm đánh giá Litva có vai trò tiên phong trong những lĩnh vực nào?,"Tổng Bí thư Tô Lâm đánh giá cao và chúc mừng những thành tựu mà Litva đã đạt được trong phát triển kinh tế-xã hội, đặc biệt là vai trò tiên phong trong các lĩnh vực công nghệ thông tin, công nghệ tài chính (Fintech), trí tuệ nhân tạo (AI) và an ninh mạng - những lĩnh vực then chốt trong quá trình chuyển đổi số toàn cầu hiện nay, qua đó ngày càng nâng cao uy tín, vị thế của Litva trong khu vực."
Khả năng thực hiện vốn cho hơn 10 công trình trọng điểm đầu tư công của Bình Thuận giai đoạn 2026 - 2030 là bao nhiêu?,"Trên cơ sở đề xuất của các cơ quan và dự kiến khả năng cân đối, đề xuất UBND tỉnh chọn hơn 10 công trình trọng điểm đầu tư công giai đoạn 2026 - 2030, với khả năng thực hiện hơn 10.000 tỷ đồng."
Chỉ số US Dollar Index (DXY) trên thị trường Mỹ hiện đứng ở mức nào và thay đổi ra sao?,"Trên thị trường Mỹ, chỉ số DXY hiện ở mức 99,06 điểm, tăng 0,12%."
Giá thu mua tiêu trung bình tại các địa bàn trọng điểm ngày 11/6 là bao nhiêu?,Hiện giá thu mua tiêu trung bình tại các địa bàn trọng điểm 141.800 đồng/kg.
"Giá vàng thế giới quy đổi theo tỷ giá hiện hành tại Vietcombank là bao nhiêu, chưa tính thuế và phí?","Quy đổi theo tỷ giá hiện hành tại Vietcombank, giá vàng thế giới tương đương với 103,591 triệu đồng/lượng (chưa tính thuế, phí)."
Mức tăng và giá dự kiến của xăng RON 95-III vào ngày 12/6/2025 là bao nhiêu?,Giá xăng RON 95-III hôm nay có thể tăng 217 đồng lên mức 19.907 đồng/lít.
"Tỷ giá USD trên thị trường ""chợ đen"" ngày 12/6/2025 giao dịch quanh mốc nào?",26.272 - 26.372 VND/USD.
Tỷ giá USD tại Vietcombank sáng ngày 10/6/2025 là bao nhiêu?,"Cụ thể, Vietcombank có mức 25.830 - 26.220 VND/USD giữ nguyên cả 2 chiều mua –bán so với phiên giao dịch trước."
"Tính đến ngày 31/5/2025, kim ngạch xuất, nhập khẩu hàng hóa đạt bao nhiêu và tăng trưởng như thế nào so với cùng kỳ năm 2024?","Kim ngạch xuất, nhập khẩu hàng hóa đạt 355,79 tỷ USD, tăng 15,7% (tương ứng tăng 48,22 tỷ USD) so với cùng kỳ năm 2024."
